,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f_rotated___25,-0.5521974742112502,1.0038479972150156,0.06580786233906298,-2.257530206713183,1.438436568323172,6.618683036374928,1.1466833795356508
f_rotated___26,-0.006170186380362508,0.9285204210565607,0.050013233399206235,-1.8734872661837638,1.5821547773625673,19.768052350377637,1.0666509352306686
f_rotated___27,-0.24090201540700737,0.9550216108503533,0.05027730949640291,-1.9771060609898508,1.6579166406726018,22.647412871986717,1.0625423438941175
f_rotated___28,1.908012895721567e-05,1.039487759641679,0.05889444628587696,-1.8217117674311032,1.9283801518887989,100.3132822861216,1.0134689545755238
f_rotated___29,-0.10040531977574478,1.0186634409023925,0.054875010379243624,-1.909931781881035,1.8595598882905007,109.15425860715078,1.0000526197810748
f_rotated___30,-0.04762019388025372,0.9296024059354091,0.04736336722361037,-1.9345098116583432,1.5676652099429993,146.48740379015806,1.0070052087759584
f_rotated___31,0.499388571291743,0.9371322795219458,0.05809897027173785,-1.5443906996276195,2.023911775252366,10.679784386832873,1.1027683388848022
f_rotated___32,-0.08623211563075733,0.9660005910417363,0.04292589533354459,-2.042301640606064,1.5899915409607208,182.33705543702237,1.0233480138404203
f_rotated___33,-0.08857911233547477,0.948659777167026,0.04612014771648963,-1.8267403605853019,1.8674596356289448,67.5841736494622,1.0228602495013535
f_rotated___34,-0.025490219575909082,0.9353779750660434,0.04162756963905624,-1.7468624030224829,2.0163094890120847,183.20829701653366,1.009866567236219
f_rotated___35,0.4370225673682767,1.0416309986250776,0.061828581877590015,-1.6095886825414778,2.3753727263593696,52.78043207304391,1.0496456301531385
f_rotated___36,-0.20213502261776795,0.9640482739643176,0.0530433310486636,-2.033823731652077,1.555985560637505,63.25265051436187,1.0002983595085857
f_rotated___37,-0.20336305339053032,0.9776201018529032,0.04656855434908397,-2.094372411821523,1.5981318613614348,83.87524151968701,1.0003030683099279
f_rotated___38,0.0069345050593172825,0.9105113569120569,0.039094488016286844,-1.659308804635666,1.8998842788709533,494.0541048584583,0.9998330126750108
f_rotated___39,-0.3768281469900779,1.0092882239333223,0.059870382055307515,-2.120816365485966,1.6878192938886676,62.03945574191125,0.9996247985222917
f_rotated___40,-0.07868402123697314,0.9768896405517686,0.04978874761884734,-1.9886525765283243,1.7711707157130792,138.7713291076486,1.001498205174709
f_rotated___41,-0.057907449978278264,1.0961362341191616,0.06964149705315018,-2.012189738560078,2.1084658281624997,13.988275992463198,1.0758295006107605
f_rotated___42,0.11123160522685917,1.0493834128749624,0.0647086803825733,-1.5299735729822475,2.7816973044756006,53.021519388424466,1.043568899415654
f_rotated___43,0.24921305061804652,0.9982077891991391,0.06086352818115759,-1.5703988079499376,2.210575465993271,5.2292561004992075,1.1703260140586627
